2025-12-26 12:59:47,207 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.jpg
2025-12-26 12:59:47,320 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 12:59:47,321 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.omr
2025-12-26 12:59:47,325 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 12:59:47,331 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 12:59:47,406 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0.jpg
2025-12-26 12:59:47,409 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 12:59:47,505 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 12:59:47,734 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 12:59:47,753 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  5 -- 0.50 of 10 interline
2025-12-26 12:59:47,754 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]         ScaleBuilder.java:264  | Beam measured height:  7 -- 0.57 of [3..10] range at 271% of needed quorum
2025-12-26 12:59:47,754 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]            ScaleStep.java:65   | Scale{ interline(11,12,12) line(1,1,3) beam(7)}
2025-12-26 12:59:47,755 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 12:59:48,057 INFO [038_Debussy_LaFilleAuxCheveuxDeLin_B1-10_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
