2025-12-26 13:00:00,915 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0.jpg
2025-12-26 13:00:01,155 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:00:01,155 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0.omr
2025-12-26 13:00:01,161 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:00:01,168 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:00:01,285 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0.jpg
2025-12-26 13:00:01,289 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:00:01,486 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:00:01,789 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:00:01,811 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  5 -- 0.50 of 10 interline
2025-12-26 13:00:01,812 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]         ScaleBuilder.java:264  | Beam measured height:  6 -- 0.43 of [3..10] range at 422% of needed quorum
2025-12-26 13:00:01,813 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            ScaleStep.java:65   | Scale{ interline(11,12,12) line(1,1,3) beam(6)}
2025-12-26 13:00:01,814 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:00:02,173 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
2025-12-26 13:00:02,236 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 6 of sizes [5] with interline(11,12,12)
2025-12-26 13:00:02,383 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6]
2025-12-26 13:00:02,706 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]        SystemManager.java:134  | Indentation detected for system #1
2025-12-26 13:00:02,708 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]        SystemManager.java:779  | 1 part along 3 systems
2025-12-26 13:00:02,709 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 13:00:02,709 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:00:03,130 INFO []      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:00:03,134 INFO []   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:00:03,915 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:00:03,989 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]        StemSeedsStep.java:86   | stem(1 max:2)
2025-12-26 13:00:04,054 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:00:05,190 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:00:05,510 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:00:07,294 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[R:0.5] NOTEHEAD_BLACK[L:-0.3,R:0.5]}
2025-12-26 13:00:07,295 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:00:08,218 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:00:08,437 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]        ReductionStep.java:105  | Stems free length median value: 40 pixels, 3.3 interlines
2025-12-26 13:00:08,445 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 13:00:08,446 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 13:00:08,446 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 13:00:08,586 WARN [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 13:00:08,587 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 13:00:08,605 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 13:00:08,626 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Page.java:307  | 12 raw measures: [4 in system#1, 4 in system#2, 4 in system#3]
2025-12-26 13:00:08,627 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:00:08,659 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:00:09,432 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]         SlursBuilder.java:240  | Slurs: 20
2025-12-26 13:00:09,462 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]      SegmentsBuilder.java:155  | Segments: 44
2025-12-26 13:00:09,471 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:00:10,193 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:00:10,259 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:00:10,437 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:00:10,455 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:2596 | Book{039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0} storing
2025-12-26 13:00:10,506 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:00:10,653 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:00:11,598 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:00:11,599 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0.omr
2025-12-26 13:00:11,603 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:00:11,646 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:00:11,648 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:00:12,460 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:00:12,975 INFO [039_Ravel_PavanePourUneInfanteDefunte_B1-12_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
