2025-12-26 13:12:25,761 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.jpg
2025-12-26 13:12:25,985 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:12:25,986 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.omr
2025-12-26 13:12:25,992 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:12:25,998 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:12:26,154 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0.jpg
2025-12-26 13:12:26,158 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:12:26,304 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:12:26,602 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:12:26,622 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  5 -- 0.50 of 10 interline
2025-12-26 13:12:26,624 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]         ScaleBuilder.java:264  | Beam measured height:  6 -- 0.43 of [3..10] range at 488% of needed quorum
2025-12-26 13:12:26,625 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]            ScaleStep.java:65   | Scale{ interline(11,12,12) line(1,1,3) beam(6)}
2025-12-26 13:12:26,626 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:12:27,069 INFO [086_Debussy_SuiteBergamasque_Prelude_B1-12_page_0]       LinesRetriever.java:1500 | Global slope: -0.00057
