2025-12-26 13:12:37,843 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0.jpg
2025-12-26 13:12:37,972 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:12:37,972 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0.omr
2025-12-26 13:12:37,978 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:12:37,982 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:12:38,069 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0.jpg
2025-12-26 13:12:38,072 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:12:38,173 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:12:38,391 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:12:38,415 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  6 -- 0.50 of 12 interline
2025-12-26 13:12:38,416 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]         ScaleBuilder.java:264  | Beam measured height:  7 -- 0.38 of [4..12] range at 432% of needed quorum
2025-12-26 13:12:38,417 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            ScaleStep.java:65   | Scale{ interline(13,14,14) line(1,1,3) beam(7)}
2025-12-26 13:12:38,418 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:12:38,765 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
2025-12-26 13:12:38,843 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(13,14,14)
2025-12-26 13:12:39,068 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2025-12-26 13:12:39,301 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        SystemManager.java:134  | Indentation detected for system #1
2025-12-26 13:12:39,303 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        SystemManager.java:779  | 1 part along 5 systems
2025-12-26 13:12:39,304 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 13:12:39,305 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:12:39,675 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:12:39,678 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:12:40,600 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:12:40,634 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        StemSeedsStep.java:86   | stem(2 max:3)
2025-12-26 13:12:40,673 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:12:41,669 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:12:41,821 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:12:43,975 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:-0.3,R:0.5]}
2025-12-26 13:12:43,975 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:12:44,654 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:12:44,804 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        ReductionStep.java:105  | Stems free length median value: 48 pixels, 3.4 interlines
2025-12-26 13:12:44,809 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 13:12:44,809 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 13:12:44,810 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 13:12:44,904 WARN [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 13:12:44,905 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 13:12:44,915 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 13:12:44,928 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Page.java:307  | 19 raw measures: [3 in system#1, 4 in system#2, 4 in system#3, 4 in system#4, 4 in system#5]
2025-12-26 13:12:44,929 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:12:44,951 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:12:45,537 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]         SlursBuilder.java:240  | Slurs: 22
2025-12-26 13:12:45,562 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]      SegmentsBuilder.java:155  | Segments: 19
2025-12-26 13:12:45,573 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:12:46,320 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:12:46,330 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#5513{(0.224) staff:1 OTTAVA ALTA}
2025-12-26 13:12:46,385 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:12:46,457 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:12:46,467 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:2596 | Book{087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0} storing
2025-12-26 13:12:46,511 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:12:46,596 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:12:47,335 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:12:47,335 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0.omr
2025-12-26 13:12:47,339 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:12:47,373 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:12:47,374 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:12:47,722 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:12:48,146 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 13:12:48,255 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]        ScoreExporter.java:164  | Score 087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0.mxl
2025-12-26 13:12:48,300 INFO [087_Debussy_SuiteBergamasque_Passpied_B1-19_page_0]                Score.java:181  | Closing {Score 1}
