2025-12-26 13:16:12,063 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.jpg
2025-12-26 13:16:12,185 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:16:12,186 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.omr
2025-12-26 13:16:12,197 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:16:12,199 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:16:12,293 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0.jpg
2025-12-26 13:16:12,298 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:16:12,402 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:16:12,622 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:16:12,640 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  6 -- 0.50 of 12 interline
2025-12-26 13:16:12,642 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]         ScaleBuilder.java:264  | Beam measured height:  7 -- 0.38 of [4..12] range at 178% of needed quorum
2025-12-26 13:16:12,642 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            ScaleStep.java:65   | Scale{ small_interline(11,12,13) interline(14,14,14) line(1,1,2) beam(7)}
2025-12-26 13:16:12,643 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:16:12,905 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
2025-12-26 13:16:12,937 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 2 of sizes [5] with interline(14,14,14)
2025-12-26 13:16:12,939 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]       LinesRetriever.java:1516 | Searching clusters with smallInterline: 12
2025-12-26 13:16:12,953 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 6 of sizes [5] with interline(11,12,13)
2025-12-26 13:16:13,071 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8]
2025-12-26 13:16:13,316 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]        SystemManager.java:779  | 1 part along 4 systems
2025-12-26 13:16:13,320 INFO [101_Mussorgsky_PicturesAtAnExhibition_Promenade_B1-12_page_0]                 Book.java:543  | Created scores: [{Score 1}]
