2025-12-26 13:16:23,162 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0.jpg
2025-12-26 13:16:23,273 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:16:23,274 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0.omr
2025-12-26 13:16:23,285 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:16:23,287 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:16:23,391 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0.jpg
2025-12-26 13:16:23,395 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:16:23,541 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:16:23,786 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:16:23,809 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  6 -- 0.50 of 12 interline
2025-12-26 13:16:23,810 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]         ScaleBuilder.java:264  | Beam measured height:  7 -- 0.38 of [4..12] range at 516% of needed quorum
2025-12-26 13:16:23,811 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            ScaleStep.java:65   | Scale{ interline(13,14,14) line(1,1,2) beam(7)}
2025-12-26 13:16:23,812 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:16:24,119 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
2025-12-26 13:16:24,172 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(13,14,14)
2025-12-26 13:16:24,350 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2025-12-26 13:16:24,581 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]        SystemManager.java:779  | 1 part along 5 systems
2025-12-26 13:16:24,583 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 13:16:24,583 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:16:24,899 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:16:24,903 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:16:25,690 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:16:25,723 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]        StemSeedsStep.java:86   | stem(2 max:2)
2025-12-26 13:16:25,767 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:16:26,841 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:16:27,136 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:16:29,460 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:-0.4,R:0.2]}
2025-12-26 13:16:29,461 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:16:30,278 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:16:30,498 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]        ReductionStep.java:105  | Stems free length median value: 50 pixels, 3.6 interlines
2025-12-26 13:16:30,503 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | CUE_BEAMS
2025-12-26 13:16:30,504 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2025-12-26 13:16:30,504 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | TEXTS
2025-12-26 13:16:30,631 WARN [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]         TesseractOCR.java:335  | The collection of supported languages is empty
2025-12-26 13:16:30,632 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2025-12-26 13:16:30,659 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | MEASURES
2025-12-26 13:16:30,672 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Page.java:307  | 20 raw measures: [4 in system#1, 4 in system#2, 4 in system#3, 4 in system#4, 4 in system#5]
2025-12-26 13:16:30,672 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | CHORDS
2025-12-26 13:16:30,691 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | CURVES
2025-12-26 13:16:31,221 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]         SlursBuilder.java:240  | Slurs: 5
2025-12-26 13:16:31,229 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]      SegmentsBuilder.java:155  | Segments: 3
2025-12-26 13:16:31,235 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | SYMBOLS
2025-12-26 13:16:31,494 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | LINKS
2025-12-26 13:16:31,580 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | RHYTHMS
2025-12-26 13:16:31,660 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                Voice.java:257  | Measure{#17} Voice{#5 excess:1/8} too long
2025-12-26 13:16:31,660 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                Voice.java:257  | Measure{#17} Voice{#2 excess:1/8} too long
2025-12-26 13:16:31,661 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]          StackRhythm.java:224  | S5 MeasureStack#17 no correct rhythm
2025-12-26 13:16:31,669 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]       StepMonitoring.java:98   | PAGE
2025-12-26 13:16:31,677 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                Voice.java:257  | Measure{#17} Voice{#2 excess:1/8} too long
2025-12-26 13:16:31,677 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                Voice.java:257  | Measure{#17} Voice{#5 excess:1/8} too long
2025-12-26 13:16:31,686 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:2596 | Book{102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0} storing
2025-12-26 13:16:31,739 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:2577 | Stored /book.xml
2025-12-26 13:16:31,820 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]           DataHolder.java:348  | Stored /sheet#1/BINARY.png
2025-12-26 13:16:32,558 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2025-12-26 13:16:32,559 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0.omr
2025-12-26 13:16:32,568 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            SheetStub.java:1660 | Disposed sheet
2025-12-26 13:16:32,611 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:2064 | End of Stub#1
2025-12-26 13:16:32,613 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]                 Book.java:2071 | Book processed.
2025-12-26 13:16:32,956 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]            SheetStub.java:997  | Loaded /sheet#1/sheet#1.xml
2025-12-26 13:16:33,373 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]      PartwiseBuilder.java:2688 | Exporting sheet(s): [#1]
2025-12-26 13:16:33,470 INFO [102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0]        ScoreExporter.java:164  | Score 102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0 exported to C:\Users\Elliot\Downloads\Audiveris\scores\102_Mussorgsky_PicturesAtAnExhibition_Bydlo_B1-20_page_0.mxl
