2025-12-26 13:23:14,231 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:560  | 1 sheet in C:\Users\Elliot\Downloads\Audiveris\scores\133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0.jpg
2025-12-26 13:23:14,365 INFO []                 Book.java:2577 | Stored /book.xml
2025-12-26 13:23:14,365 INFO []                 Book.java:2537 | Book stored as C:\Users\Elliot\Downloads\Audiveris\scores\133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0.omr
2025-12-26 13:23:14,371 INFO []                 Book.java:1929 | Book reaching PAGE on sheets:[#1]
2025-12-26 13:23:14,372 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | LOAD
2025-12-26 13:23:14,493 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            SheetStub.java:1273 | Loaded image #1 1653x2339 from C:\Users\Elliot\Downloads\Audiveris\scores\133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0.jpg
2025-12-26 13:23:14,496 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            ImageUtil.java:124  | Converting max RGB to gray
2025-12-26 13:23:14,614 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | BINARY
2025-12-26 13:23:14,827 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | SCALE
2025-12-26 13:23:14,848 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]         ScaleBuilder.java:241  | Beam  guessed height:  6 -- 0.50 of 12 interline
2025-12-26 13:23:14,850 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]         ScaleBuilder.java:264  | Beam measured height:  8 -- 0.50 of [4..12] range at 418% of needed quorum
2025-12-26 13:23:14,851 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            ScaleStep.java:65   | Scale{ interline(13,14,14) line(1,1,3) beam(8)}
2025-12-26 13:23:14,852 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | GRID
2025-12-26 13:23:15,180 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       LinesRetriever.java:1500 | Global slope: 0.00000
2025-12-26 13:23:15,238 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(13,14,14)
2025-12-26 13:23:15,408 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2025-12-26 13:23:15,743 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]        SystemManager.java:779  | 1 part along 5 systems
2025-12-26 13:23:15,745 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]                 Book.java:543  | Created scores: [{Score 1}]
2025-12-26 13:23:15,747 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | HEADERS
2025-12-26 13:23:16,099 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]      BasicClassifier.java:286  | Classifier loaded XML norms.
2025-12-26 13:23:16,103 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]   AbstractClassifier.java:396  | Classifier data loaded from default uri jar:file:/C:/Users/Elliot/Downloads/Audiveris/app/audiveris.jar!/res/basic-classifier.zip
2025-12-26 13:23:16,919 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | STEM_SEEDS
2025-12-26 13:23:16,955 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]        StemSeedsStep.java:86   | stem(2 max:2)
2025-12-26 13:23:16,992 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | BEAMS
2025-12-26 13:23:18,179 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | LEDGERS
2025-12-26 13:23:18,356 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | HEADS
2025-12-26 13:23:20,475 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:0.1,R:0.4]}
2025-12-26 13:23:20,476 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | STEMS
2025-12-26 13:23:21,154 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]       StepMonitoring.java:98   | REDUCTION
2025-12-26 13:23:21,347 INFO [133_Mendelssohn_VenetianischesGondellied_Op30-6_B0-21_page_0]        ReductionStep.java:105  | Stems free length median value: 48 pixels, 3.4 interlines
